facet_id,name,category
F0001,Risktaking,behavior
F0002,Naivety,unclear
F0003,Acidity,emotion
F0004,Democratic Leadership,psychology
F0005,Common-sense,unclear
F0006,Hesitation,behavior
F0007,Discontentment,emotion
F0008,Overprotectiveness,safety
F0009,Merriness,emotion
F0010,Emotionalism,emotion
F0011,Self-improvement,personality
F0012,Statistical Reasoning,cognition
F0013,Assertiveness and control in relationships,behavior
F0014,Cunningness,unclear
F0015,Adventure-Seeking Behavior,behavior
F0016,Compassion Fatigue,health
F0017,Moroseness,emotion
F0018,Specialist,unclear
F0019,Aloofness,personality
F0020,Genuine,unclear
F0021,Determinedness,psychology
F0022,HonestyHumility,unclear
F0023,Relationship Building Themes,behavior
F0024,Pure Challenge,behavior
F0025,Numerical Reasoning Subcomponents,cognition
F0026,Openness,personality
F0027,SelfEsteem,psychology
F0028,Comparing alphanumeric data,unclear
F0029,Big-heartedness,emotion
F0030,Compulsive activities,behavior
F0031,Disrespect,behavior
F0032,FSH level,unclear
F0033,Self Perspective,personality
F0034,Desperation,emotion
F0035,Affiliation Motivation,unclear
F0036,Anatomy knowledge,unclear
F0037,Passive-Aggressive,behavior
F0038,Presence of Spiritual Pain,psychology
F0039,Role of Spirituality in Community Involvement,psychology
F0040,Structure,unclear
F0041,Eco-tourism trips,unclear
F0042,Chivalrousness,behavior
F0043,Pilgrimage participation count,behavior
F0044,Mindfulness facet: Observing,cognition
F0045,Submissiveness,unclear
F0046,Training-cycle length,unclear
F0047,Sensitiveness,emotion
F0048,Negative Affect Frequency,emotion
F0049,Innovation and Creativity Components,cognition
F0050,Achievement Motivation,unclear
F0051,Feedback-giving frequency,behavior
F0052,Dance-cardio sessions,unclear
F0053,Enthusiasm,emotion
F0054,Psychological construct: Social Desirability tendency,psychology
F0055,Inattentiveness,cognition
F0056,Unassertiveness,personality
F0057,Decision-making decisiveness,cognition
F0058,Sense-of-coherence score,psychology
F0059,Justice-mindedness,psychology
F0060,Subscription count,unclear
F0061,Depression Symptoms,health
F0062,Spatial perception,cognition
F0063,Brevity,unclear
F0064,Orderliness,psychology
F0065,Multiculturalism,unclear
F0066,Creative risk-taking tendency,personality
F0067,Inefficiency,behavior
F0068,Network basics,unclear
F0069,Alphabetical filing skills,psychology
F0070,Work Styles,behavior
F0071,Character strength: Perseverance,personality
F0072,Competition,behavior
F0073,Logical Sequence Identification,cognition
F0074,Sustainable-transport usage,unclear
F0075,Hardworking,psychology
F0076,Emotional-intelligence measure: Impulsiveness,emotion
F0077,Dishonesty,behavior
F0078,Preferred epistemology,unclear
F0079,Memory for Sounds,cognition
F0080,Sportsmanship rating,behavior
F0081,Immaturity,behavior
F0082,Health-literacy level,health
F0083,Estimating Calculations,cognition
F0084,Depression: Feelings of sadness and hopelessness,emotion
F0085,Synthesis of information,cognition
F0086,Leadership Potential,personality
F0087,Ethical standards,psychology
F0088,High-spiritedness,behavior
F0089,Critical reasoning,cognition
F0090,Sleep-disorder diagnosis,health
F0091,Listening Skills Subcomponents,behavior
F0092,Collaboration,behavior
F0093,Precision of Movements,cognition
F0094,Social Boldness,emotion
F0095,Auditory memory,cognition
F0096,Psychomotor Ability Subcomponents,cognition
F0097,Organized lifestyle,behavior
F0098,Skill-endorsements count,unclear
F0099,Mysteriousness,unclear
F0100,Cultural Identity,personality
F0101,Intrinsic Motivation,unclear
F0102,Impartial-mindedness,psychology
F0103,Burnout Symptoms,health
F0104,Holiness,unclear
F0105,Selfcontrol,personality
F0106,SelfDirectedness,personality
F0107,Encouraging participation,behavior
F0108,Impracticalness,unclear
F0109,Meeting Deadlines,behavior
F0110,Data Analysis,cognition
F0111,Social Interaction Skills,behavior
F0112,Psychoticism,psychology
F0113,Ethical leadership rating,personality
F0114,Slothfulness,unclear
F0115,Happiness,emotion
F0116,Contentment Levels,emotion
F0117,Neuroticism,psychology
F0118,Desire for excellence,unclear
F0119,Perceiving,cognition
F0120,Liberalism,personality
F0121,Inversion comfort level,unclear
F0122,Affection,emotion
F0123,Numeric Filing Skills,unclear
F0124,Martyrdom,psychology
F0125,Parathyroid-hormone level,unclear
F0126,Seeking approval,emotion
F0127,Judging (J),personality
F0128,Big Five facet Openness – Artistic Interests,personality
F0129,Psychological construct: Operant-Learning rate,cognition
F0130,Psychological construct: Need for Achievement level,cognition
F0131,Cantankerousness,unclear
F0132,Material properties knowledge,unclear
F0133,Hostility,emotion
F0134,Independence,personality
F0135,Sufi practice: Sufi retreat attendance count,unclear
F0136,Chromatin-accessibility score,unclear
F0137,Spiritual virtue: Humility practice index,unclear
F0138,I Ching hexagram 36 resonance level,unclear
F0139,Well-being component: Engagement,unclear
F0140,Need for social interaction,behavior
F0141,Peer-collaboration hours,behavior
F0142,Arts and Humanities,unclear
F0143,Religious practice: Quran khatam cycles per year,unclear
F0144,Bahá’í spiritual metric: Ridván festival participation,unclear
F0145,Compassion,emotion
F0146,Information Retention,cognition
F0147,Eye-contact duration,behavior
F0148,Self-righteousness,unclear
F0149,General Mood and Attitude,emotion
F0150,Serotonin transporter availability,health
F0151,Contribution to Group Goals,behavior
F0152,Dignity,emotion
